address,address_short,rank,account_value,pnl_alltime,pnl_month,pnl_week,roi_alltime,roi_month,volume_month,n_open_positions,open_assets,max_leverage,sufficient_data,total_trades,n_assets_traded,total_closed_pnl,total_fees_paid,net_pnl,win_rate,n_wins,n_losses,avg_win,avg_loss,profit_factor,n_liquidations,liquidation_rate,top_asset_1,top_asset_2,top_asset_3,asset_hhi,is_concentrated,long_pct,short_pct,bias,avg_trade_value,median_trade_value,max_trade_value,avg_hold_hours,hold_style,trades_per_day,days_active,sharpe,max_drawdown,peak_hour_utc,total_funding_pnl,funding_pnl_pct
0xffe4e3986d18333402564ea64f3a83fcc1907b52,0xffe4…7b52,40,103447.378244,349239.928244,144140.534734,35039.829191,16.787037793,1.4663686084,23087946.82,1,HYPE,10.0,True,2000.0,7.0,63642.386740999995,2168.11201188,61474.27472911999,0.9509151414309485,1143.0,59.0,54.65515487314085,-12.291120000000001,86.14575651750674,0.0,0.0,HYPE,ETH,SOL,0.8569835000000002,True,0.6905,0.3015,LONG,3577.1296308919227,1068.29236,195002.82932,0.18068777777777778,SCALPER,37.03703703703704,54.0,7.84220496565188,0.0,21.0,-767.6755750000001,-0.012487753265616923
0xb2a4618e5d1458e60cc1d8d080d477db7552a612,0xb2a4…a612,41,134.941704,728075.861704,133.979402,0.021186,25.3289416658,1.33979402,133.94,0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xb123cd952875d8014efc7a9160a7531a5fe8f5ca,0xb123…f5ca,42,7654.679324,338305.089324,4682.964394,3420.142785,28.1739650918,1.4136163082,187620.1,1,PURR,3.0,True,247.0,6.0,-21249.712208769997,223.70903534,-21473.42124411,0.782608695652174,36.0,10.0,28.976489138888887,-302.53231,0.3448073394210357,10.0,0.21739130434782608,PURR,LINK,BTC,0.3398351062957924,False,0.8178137651821862,0.0,LONG,1922.5013603913444,91.727,75620.0,324.69318805555554,POSITION,3.742424242424242,66.0,-2.3544749851831157,-63.913553105821606,18.0,-436.335454,-0.020319792036850377
0xc80a38405f929b92bd889f3e5d438c342e498aca,0xc80a…8aca,43,2231.184984,1478428.384984,1825.446771,558.791059,4.147055419,4.4990752966,0.0,0,,0.0,True,1747.0,2.0,2123.41565994,3131.6287699100003,-1008.2131099700005,0.0,,,,,0.0,0.0,0.0,,,,0.9988558356151636,True,0.0,0.0,NEUTRAL,49.855149437217285,30.314196000000003,2298.942,0.0,SCALPER,134.3846153846154,13.0,0.0,0.0,14.0,0.0,0.0
0xbe10fd36393c8b677281d0bc2cf1bb8c98ad4b34,0xbe10…4b34,44,340890.902192,971008.912192,183045.643298,111158.40691,7.060950202,1.1878744452,2415182.55,1,HYPE,5.0,True,2000.0,8.0,-303041.49747872003,2961.03234518,-306002.5298239,0.2235142118863049,173.0,601.0,36.074229427745664,-461.49998848419307,0.022500750272578175,0.0,0.0,ZEC,SOL,PUMP,0.20914700000000003,False,0.7975,0.132,LONG,4625.5982808935,1099.2970500000001,580361.44881,25.0021325,SWING,90.9090909090909,22.0,-11.627318445148223,-0.0,10.0,-11610.447615,-0.03794232558038537
0x8b1d4deaf209133cc001665558781a0314cc427e,0x8b1d…427e,45,52720.676743,117506.246743,32067.842267,17456.835005,23.5638037968,1.5147894663,6104778.19,1,BTC,40.0,True,1303.0,6.0,-10494.31192825,5643.217085939999,-16137.529014189999,0.433931484502447,266.0,347.0,53.6445859962406,-75.75994271757926,0.5427982292101099,0.0,0.0,ETH,xyz:GOLD,BTC,0.630565040001555,True,0.6431312356101304,0.306216423637759,LONG,8723.374606083615,1778.0842499999999,199122.0795,23.726294444444445,SWING,18.35211267605634,71.0,-2.509906073748051,-2.8141353520472325,14.0,-122.508634,-0.007591536095289193
0x56498e5f90c14060499b62b6f459b3e3fb9280c5,0x5649…80c5,46,3066.777488,38668475.187488,1057.470688,276.173442,8.5925154629,0.5262863232,0.0,0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xee3fd7b622d5ccbb2b6aa310e9591da4bdab555e,0xee3f…555e,47,62.474875,194552.604875,135.464906,10.937604,23.293464373,1.35464906,120.7,0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xb4a9964201c213af0c9c7f62af561813c9a2f1f7,0xb4a9…f1f7,48,413310.290206,4925268.350206,187980.313816,89992.639634,173.3569148729,0.8342445902,3642553.3,0,,0.0,True,2000.0,4.0,-308874.13653521996,2302.36099938,-311176.49753459997,0.7103658536585366,699.0,285.0,141.494601434907,-1421.5498258350874,0.24412378758933745,17.0,0.017276422764227643,HYPE,,,0.639445,True,0.7835,0.0,LONG,3054.3310807246326,1099.770075,109507.25623999999,0.0,SCALPER,30.76923076923077,65.0,-1.9487790335445319,-0.0,20.0,-3292.69474,-0.010581437756666963
0x5b673a96b3def1b660a340e700a46de71c544898,0x5b67…4898,49,12670.577158,312903.097158,7136.375036,3826.316874,15.4360351714,1.2666167953,693904.64,2,"ETH,SOL",20.0,True,150.0,4.0,5946.550229999999,192.18175000000002,5754.368479999999,0.46534653465346537,47.0,54.0,153.17385531914894,-23.19668462962963,5.747286188255336,0.0,0.0,BTC,XRP,BNB,0.52,True,1.0,0.0,LONG,3743.0767171999996,726.1209,33563.5,24.706593055555555,SWING,10.0,15.0,10.373258446633729,-1.7569410154525387,11.0,24.803917999999996,0.004310450066972423
0x52081a6912cfa64968999fbeb31387446a49b207,0x5208…b207,50,56466.026863,941320.926863,99996.475415,41053.446208,68.4492280979,1.0617871339,34844733.11,1,TAO,5.0,True,2000.0,13.0,17897.425748999995,1570.5083797,16326.917369299994,0.39744952178533477,374.0,567.0,114.59831115508022,-44.02529563139329,1.716977008900981,0.0,0.0,ZEC,MON,xyz:SILVER,0.21774849999999998,False,0.9755,0.0155,LONG,1787.0380281016276,506.9435495,53950.106199999995,13.211735,SWING,166.66666666666666,12.0,4.474472749130084,0.0,21.0,4558.9838469999995,0.2792311459585382
0x9033de302ee6d0ba067ea75fa2ef8b011ce13336,0x9033…3336,51,143.97579,85280.96579,143.861776,36.992335,10.7739320029,1.43861776,0.0,0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xa4dedda59f2908b92ae192cfd494839373bcb3c4,0xa4de…b3c4,52,3488776.631132,16427250.261132,1324347.708768,610731.39755,64.6836346973,0.6118693458,45062034.98,0,,0.0,True,2000.0,1.0,-98604.12257600001,1667.147611,-100271.270187,0.3968253968253968,325.0,494.0,35.7272124,-223.10823199595146,0.10535131218478089,367.0,0.4481074481074481,HYPE,,,1.0,True,1.0,0.0,LONG,3461.7456606,1036.4275199999997,251506.99987000003,24.299805833333334,SWING,285.7142857142857,7.0,-9.555476512340748,-0.0,17.0,-52962.243770999994,-0.5281896167489305
0x136bcdfa5ed1c6a350a6a627a757e0e3abfd17dd,0x136b…17dd,53,869.705308,63062.255308,518.421032,288.995191,32.0459457728,1.4765012371,58629.14,1,HYPE,10.0,True,1798.0,34.0,-1195.4174885799998,112.89575117000001,-1308.3132397499999,0.7052280311457174,634.0,265.0,2.6412606940063093,-10.582157396226414,0.5971458735715736,14.0,0.01557285873192436,xyz:GOLD,xyz:TSLA,xyz:PLTR,0.5362570697140933,True,0.5489432703003337,0.4933259176863181,NEUTRAL,375.33086678840374,151.94965000000002,17420.48,3.3968233333333333,INTRADAY,19.977777777777778,90.0,-1.7797332164331028,-131.72050044317487,3.0,-177.85843,-0.1359448369061726
0x51156f7002c4f74f4956c9e0f2b7bfb6e9dbfac2,0x5115…fac2,54,280233.040492,71803503.740492,75461.254883,56256.028131,5.9576165403,0.3685139271,0.0,0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x613ead0ea5af374af0ccfc117ef116a8e8d133fe,0x613e…33fe,55,409894.550988,2123029.070988,193429.03892,131679.348554,22.7505505802,0.8845886902,151193.97,2,"BTC,HYPE",20.0,True,240.0,2.0,-26916.13048,304.599639,-27220.730119,0.7583892617449665,113.0,36.0,0.2638051327433628,-748.498346111111,0.001106288349603219,0.0,0.0,HYPE,,,0.9433680555555555,True,1.0,0.0,LONG,2820.368078916667,499.751,33100.0,19.831041944444443,SWING,4.8979591836734695,49.0,0.0,0.0,10.0,-9730.871288999999,-0.35748017215041106
0x3c363e96d22c056d748f199fb728fc80d70e461a,0x3c36…461a,56,3678243.080398,3771059.160398,1608046.2883,679892.175419,9.8637212932,0.7767601102,173435173.58,2,"ETH,XRP",11.0,True,2000.0,7.0,463196.080639,2562.029362,460634.051277,1.0,1056.0,0.0,437.34931878693186,,,4.0,0.003787878787878788,XRP,FARTCOIN,DOGE,0.1919485,False,0.001,0.9995,SHORT,9094.8114482005,1990.56648,420375.43613999995,14.932626388888888,SWING,1000.0,2.0,0.0,0.0,14.0,3744.597306999998,0.008129223830975977
0x493db0ed7514c975e9abcc110bd40c473b6763e3,0x493d…63e3,57,55392655.19895,65510563.77895,13153968.480756,9703515.095605,251.1946884592,0.311419921,0.0,0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x4c8e087a21c3e33237347577487ee325c949f8b9,0x4c8e…f8b9,58,7.676668,174404.916668,657.614885,1.140213,4.2315378467,6.57614885,0.0,0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
