address,n_scored_trades,smart_money_score,grade,ic_1h,ic_4h,ic_8h,ic_24h,ic_recent_8h,icir_8h,ic_trend,ic_trend_direction,rolling_ic_values,display_name,pnl_alltime,pnl_month,rank,smart_money_rank
0xcac19662ec88d23fa1c81ac0e8570b0cf2ff26b3,0,0.0,INSUFFICIENT_DATA,,,,,,,,,,,43243716.681432,-3032678.030216,37,32
0x03b3e2069830dd3bd1a5b5e45dad60a770227ed7,0,0.0,UNKNOWN,,,,,,,,,,,46496367.288778,0.000916,35,33
0xcfdb74a8c080bb7b4360ed6fe21f895c653efff4,0,0.0,UNKNOWN,,,,,,,,,,,60319867.181416,8791910.537432,23,34
0x4a207d289fd49e60502451099771127bcf35b961,0,0.0,UNKNOWN,,,,,,,,,,,35154177.617318,0.041856,45,35
0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,0,0.0,INSUFFICIENT_DATA,,,,,,,,,,,37896478.217884,-36098.026864,41,36
0x1419e75330c71ce463102e6a1eb62fe80b412d5f,0,0.0,UNKNOWN,,,,,,,,,,,35455275.542346,7454653.953678,44,37
0x4f7634c03ec4e87e14725c84913ade523c6fad5a,0,0.0,INSUFFICIENT_DATA,,,,,,,,,,,40788599.400586,0.0,38,38
0xc59498175d6d317642aeb97f895a7ce1aa992191,383,-0.071,NO_EDGE,25.3106,6.2306,-0.1297,8.1691,-0.1297,0.936,-0.004257,DETERIORATING,"[-0.09956409197546764, -0.10298373673257606, -0.10637991534446171, -0.10975300093632671, -0.1131098273331483, -0.11644738525554596, -0.11977867023845201, -0.12309102239531439, -0.12639721598108186, -0.12969100336237457]",,34234102.608919,0.0,47,39
0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,442,-0.1073,NO_EDGE,-0.6152,-0.4416,-0.1622,-0.0972,-0.1622,0.5335,-0.002929,DETERIORATING,"[-0.1460893507122351, -0.14870489971774042, -0.1513074595211672, -0.15389718214429035, -0.15647421695063318, -0.15903871070649417, -0.16159080764024827, -0.1641306494999818, -0.16665837560951455, -0.16224338147529868]",,59186194.112549,13331434.199517,24,40
0x880ac484a1743862989a441d6d867238c7aa311c,1251,-0.1512,NO_EDGE,0.1394,0.0439,0.0884,0.0268,-0.2715,-1.2993,0.00175,IMPROVING,"[0.07196940809752718, 0.07363946104097457, 0.07530201242506204, 0.0769571403650986, 0.0786049217661623, 0.080245432347684, 0.0818787466674164, 0.08350493814480658, 0.08512407908378981, 0.08673624069502131]",x35767,113127662.614503,3502609.314544,9,41
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,264,-0.2334,NO_EDGE,-0.4161,-0.1322,-0.3821,-1.7348,-0.3868,0.0786,0.003065,IMPROVING,"[-0.4040953591941962, -0.40154520838630936, -0.3990140989746737, -0.3964758335517948, -0.39392079366524846, -0.39151900304427467, -0.3891344649936287, -0.38676694114586424, -0.384416197831584, -0.38208200596004754]",,176321353.410499,174186.507652,2,42
0x31ca8395cf837de08b24da3f660e77761dfb974b,357,-0.2725,NO_EDGE,0.6863,-0.2685,-0.2661,0.0,-0.2733,-1.4326,0.001211,IMPROVING,"[-0.27207941427393045, -0.27258896422801554, -0.27306420749902743, -0.2748806593813051, -0.27413296330253634, -0.2733884105869744, -0.2670949735108488, -0.2675680490106999, -0.26682982365845936, -0.26607693204886473]",,37418545.152047,-471356.605174,43,43
0x939f95036d2e7b6d7419ec072bf9d967352204d2,1306,-0.3573,NO_EDGE,-0.331,-0.9834,-0.4184,-0.2667,-0.4184,-0.9673,9e-06,IMPROVING,"[-0.4186405274484487, -0.4186132876410884, -0.41858613889060026, -0.4185590809889476, -0.4185321137287121, -0.4185052369030915, -0.4184784503058974, -0.41845175373155297, -0.4184251469750906, -0.41839862983214926]",,50687849.100087,10636461.273921,31,44
0x162cc7c861ebd0c06b3d72319201150482518185,569,-0.3663,NO_EDGE,-0.6651,-0.6817,-0.3165,0.0,-0.3645,-1.5681,-0.002097,DETERIORATING,"[-0.3220684335586952, -0.3243108483013411, -0.3265437222151292, -0.3287671587477512, -0.3309812596294572, -0.33110134235865596, -0.33122147991850553, -0.33134167171562506, -0.33146191716132234, -0.33158221567155133]",ABC,40769259.521533996,3151307.2962519997,39,45
0x856c35038594767646266bc7fd68dc26480e910d,869,-0.6066,NO_EDGE,-0.3012,-0.4744,-0.5875,-0.4879,-0.5958,-4.099,0.000802,IMPROVING,"[-0.5884609262337069, -0.5882018737309607, -0.5879676830478889, -0.5877340979069762, -0.5872320320553145, -0.5870445967142846, -0.5868576804811226, -0.5866771776162252, -0.5864868623814538, -0.5862896812275548]",,37862896.110509,-1378731.6668529997,42,46
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,1266,-1.0345,NO_EDGE,1.0182,-0.0635,-1.4795,-1.4625,-1.4795,0.0314,-9.9e-05,DETERIORATING,"[-1.4806954144621007, -1.4804836391195169, -1.4803011026108281, -1.480119253145294, -1.4799494888413824, -1.4797815823703426, -1.4796155278226164, -1.4794560819922946, -1.4792972773641961, -1.4791456325676107]",,60629555.397394,-3868369.507822,22,47
0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,21,-1.137,NO_EDGE,-0.705,-0.7951,-1.1611,-1.028,-8.4574,-1.3294,1.519417,IMPROVING,"[-13.0538150543263, -12.893060162013247, -12.881491741137244, -12.955616672803355, -3.2826592984542224, -2.3549001824605953, -1.9292019566113299, -1.6712964709349611, -1.4933765691657288, -1.3609084554451165]",,76195298.78793,11171102.941076,17,48
0x45d26f28196d226497130c4bac709d808fed4029,1712,-1.4258,NO_EDGE,-31.8974,-0.796,-16.7441,2.739,-46.4756,-0.3776,-6.5e-05,DETERIORATING,"[-16.776165192001656, -16.773497468387205, -16.770764851408895, -16.76804452095597, -16.765336429017733, -16.762717165458337, -16.759407310005187, -16.75426662626213, -16.747024232933605, -16.730886086601327]",,79121530.234467,-4615650.128387,15,49
0xd47587702a91731dc1089b5db0932cf820151a91,1314,-1.5188,NO_EDGE,-1.1015,-0.3276,-3.8274,-2.2573,-5.7144,-1.6154,-0.001109,DETERIORATING,"[-3.8254732816915458, -3.8264339310235336, -3.827362207601369, -3.8282910894713518, -3.8290054138155853, -3.829642375294788, -3.830280812847044, -3.8309207180798523, -3.831562082653924, -3.832204898282782]",,76873707.945595,-5918941.447678001,16,50
