address,display_name,account_value_usd,pnl_day,pnl_week,pnl_month,pnl_alltime,roi_day,roi_week,roi_month,roi_alltime,volume_day,volume_week,volume_month,rank,vol_pnl_ratio,quality_score,current_margin_usd,current_unrealized_pnl,n_open_positions,open_assets,max_leverage_open
0xda3cdff67ce27fa68ba5600a7c95efd8153d9f15,,0.074953,0.0,0.0,0.000913,43348850.874953,0.0,0.0,9.13e-06,28.419764375,0.0,0.0,0.0,168,0.0,0.7758862907915225,0.004519,0.0,0,,0.0
0x97f20f91c18093c7f738a00ffabc03eea04ec668,,40515.333845,333.889666,3249.438309,11435.750733,3489922.133845,0.0083095487,0.0871960344,0.3932570384,37.4763564429,0.0,0.0,0.0,169,0.0,0.7756845516075116,0.0,0.0,0,,0.0
0xe0736ae0872d83360f20842aed7195b2e1f4ba86,,4483592.501271,51800.661812,368117.560906,1253928.483137,4593744.701271,0.0116884239,0.0894471638,0.349770456,7.3684585296,0.0,0.0,0.0,170,0.0,0.7756474445900453,0.0,0.0,0,,0.0
0xea1feb9a9a006a7fc253c6ca87349be0da072f25,,358188.647219,1693.345864,16075.710375,50719.600702,15434925.837219,0.0047486527,0.0450915558,0.1575784935,27.9228849433,0.0,0.0,0.0,171,0.0,0.7754421648648658,0.0,0.0,0,,0.0
0xdf35aee8ef5658686142acd1e5ab5dbcdf8c51e8,,2520858.246785,0.0,232739.019149,793092.070788,2254968.246785,0.0,0.1017162988,0.459027432,8.4808313467,0.0,0.0,0.0,172,0.0,0.7754095838620231,0.0,0.0,0,,0.0
0x7bfee91193d9df2ac0bfe90191d40f23c773c060,,881019.412324,0.0,30251.606544,134360.715657,13805083.612324,0.0,0.0355580058,0.1743928427,18.1113530259,0.0,0.0,99.98,173,7.242259649245905e-06,0.7753727862891799,2940.441931,0.0,0,,0.0
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,shibal,4110.313681,0.08061,993.177406,1329.443322,1970577.713681,1.9612e-05,0.3186185391,0.4780673496,8.4107833473,0.0,185981.44,262324.67,174,0.13312069256582768,0.7751985745236218,0.0,0.0,0,,0.0
0xa82fe73bbd768bc15d1ef2f6142a21ff8bd762ad,,2485702.001874,0.0,224721.020618,778021.223106,2219852.001874,0.0,0.099390938,0.4556010894,8.3500169339,0.0,0.0,0.0,175,0.0,0.7748207072962465,0.0,0.0,0,,0.0
0xad99c596d2cef64cb027fe81169d6d179d340a76,,144.093035,-60.218979,64.443951,839.747451,62438.933035,-0.2947402741,0.64443951,1.0135978508,192.1954231485,0.0,23851.76,325896.36,176,5.219441527249025,0.7745955902910996,0.0,0.0,0,,0.0
0x30031f21e4927c7b7c8d9bdb803bc14e57388028,,2194315.89949,17226.057169,172799.517109,608417.746737,3439535.03949,0.0079124237,0.0854801468,0.3836423831,12.7820862475,7036.59,348337.52,11454259.13,177,3.330176607736606,0.7744949210371623,2441.808367,0.0,12,"BTC,ETH,ATOM,DOGE,LINK,XRP,BCH,DOT,ADA,PURR,XLM,SAND",20.0
