address,n_scored_trades,smart_money_score,grade,display_name,pnl_alltime,pnl_month,rank,ic_1h,ic_4h,ic_8h,ic_24h,ic_recent_8h,icir_8h,ic_trend,ic_trend_direction,rolling_ic_values,smart_money_rank
0x99b1098d9d50aa076f78bd26ab22e6abd3710729,1112,0.7752,TIER_1,韦小宝.eth,24261851.769143,-30991.430823,191,0.3866,1.0426,1.0573,0.0065,1.0573,0.3998,0.000841,IMPROVING,"[1.0480880059129836, 1.0489527922520467, 1.0498269047315867, 1.050700319532836, 1.0515730382775603, 1.0524481919348623, 1.0533226459038263, 1.0541964018164465, 1.0550724274655268, 1.0559474886664444]",11
0xc6758a779bccee1ef0190dbe8292fdf44076795d,464,0.6976,TIER_1,,2083569.289745,742849.473217,59,0.7909,0.4,0.7027,0.793,0.7027,5.432,0.000569,IMPROVING,"[0.699203256141538, 0.6996264662091768, 0.7000207627658547, 0.7004150545977885, 0.7008045244215373, 0.7011939979237043, 0.7015834736318415, 0.7019536967874097, 0.7023191421905655, 0.7026749914884651]",12
0x760f7d5345c3d9710cc87519881ccf6f17b6e560,1269,0.6926,TIER_1,,182629.59,15717.324263,50,-0.2617,0.5303,0.8936,0.7521,0.8936,1.0224,-0.000113,DETERIORATING,"[0.8967744314711221, 0.8964907288946906, 0.8962492243211814, 0.8960082370216381, 0.8957677655410907, 0.8955278084301315, 0.89528836424489, 0.8950494315470042, 0.8948110089035953, 0.8945730948872406]",13
0x7a2dec2cf9247964f22afae48fc7d6ad5b71e137,64,0.5583,TIER_1,,547805.00713,337.888409,13,0.9921,0.9371,0.8215,0.7075,0.8215,1.2486,-0.568686,DETERIORATING,"[3.3081627124890307, 2.863124410061726, 2.0773068351827493, 1.681926924415671, 1.4323575266887312, 1.252056579678757, 1.1137915637606086, 1.002961243968525, 0.9046425757743037, 0.8214605663265849]",14
0x391d8af8f763394d74d329fdfd7138960b5e74c1,939,0.5509,TIER_1,,75332.977274,1918.801725,166,-0.0252,-0.0424,0.8099,0.1815,0.8099,-0.1119,-0.000855,DETERIORATING,"[0.8080383607023632, 0.808244298118791, 0.8084506888703563, 0.8086575294480458, 0.8088648163719833, 0.809072546191139, 0.8092807154830416, 0.809489320853495, 0.8096983589362964, 0.8099078263929603]",15
0xfc84a4bba95d3a13f91a9c0d735c0af04a18f4d0,108,0.5455,TIER_1,,10090052.783475,2410381.700066,111,-0.4709,-0.7717,0.6494,1.219,0.6494,-0.0332,0.009315,IMPROVING,"[0.6728969341441773, 0.6802986388562989, 0.687636151635006, 0.6949109669676377, 0.7021245251392403, 0.7036219718892898, 0.7004537694547577, 0.6973526039168576, 0.6666666935981196, 0.6494371376865874]",16
0x99967871e6c4f9a5185abc57edede9e9540191f6,87,0.5445,TIER_1,,25843442.088948,1063654.592987,64,0.733,-1.4972,0.8412,5.4466,0.8412,0.8351,-0.196307,DETERIORATING,"[0.871434229057802, 0.8693426349523702, 0.8673365860012578, 0.8653704874074067, 0.8627672601494354, 0.8594858897511363, 0.8562666788865096, 0.8519831631516575, 0.846585209151137, 0.8412059419441571]",17
0x613ead0ea5af374af0ccfc117ef116a8e8d133fe,91,0.4774,TIER_1,Sticky,2083009.440133,186963.967335,44,1.0473,0.7077,0.7764,0.5657,0.7764,0.5085,-0.043775,DETERIORATING,"[1.2325428321268754, 1.1884754991997608, 1.1477863680188916, 1.1100680701606727, 1.0749575344847273, 1.0420612897843633, 1.0112021126387705, 0.9821846036504019, 0.9547826736499248, 0.9286385120279409]",18
0xb4a9964201c213af0c9c7f62af561813c9a2f1f7,583,0.4235,TIER_1,,4905581.243136,165594.350363,53,0.351,0.3691,0.6652,0.0619,0.5164,0.2142,0.00031,IMPROVING,"[0.5013839429151894, 0.5053556033542703, 0.5093027080948858, 0.5129655139627656, 0.5166250327973653, 0.5202211971276343, 0.5238322402692377, 0.5274415344698314, 0.531044325459803, 0.534633572445266]",19
0x30031f21e4927c7b7c8d9bdb803bc14e57388028,454,0.4015,TIER_1,,3424483.02377,521661.490604,186,0.3317,0.3271,0.3276,0.0373,0.3276,4.334,-0.00278,DETERIORATING,"[0.33701911763273434, 0.3325164732928059, 0.32804601225601465, 0.32349666987332104, 0.3244929646743503, 0.32524837349824726, 0.32728237548346467, 0.32927055810681566, 0.32781946104924803, 0.3263745213897541]",20
