address,address_short,rank,account_value,pnl_alltime,pnl_month,pnl_week,roi_alltime,roi_month,volume_month,n_open_positions,open_assets,max_leverage,sufficient_data,total_trades,n_assets_traded,total_closed_pnl,total_fees_paid,net_pnl,win_rate,profit_factor,n_liquidations,liquidation_rate,top_asset_1,top_asset_2,top_asset_3,asset_hhi,is_concentrated,long_pct,short_pct,bias,avg_trade_value,median_trade_value,max_trade_value,avg_hold_hours,hold_style,trades_per_day,days_active,sharpe,max_drawdown,peak_hour_utc,total_funding_pnl,funding_pnl_pct,n_wins,n_losses,avg_win,avg_loss
0xfff7ab666e2b528a8008f23f36975bdd169dde5a,0xfff7…de5a,35,85456.516448,77188.986448,56787.625206,26017.675243,7.9432722562,1.9808099562,6589695.4,2,"BTC,HYPE",30.0,True,2000.0,22.0,25224.379723010003,484.7996884,24739.580034610004,0.5615384615384615,2.3232031401835407,11.0,0.010576923076923078,SOL,xyz:PLTR,ETH,0.17493750000000002,False,0.1255,0.866,SHORT,2348.941470246866,516.2261000000001,83241.92538,80.8871925,POSITION,29.850746268656717,67.0,1.8115705228421888,-7.539335928676315,21.0,805.2119779999998,0.03254752008213276,584.0,456.0,75.83511989212329,-41.80528573245614
0x1b478d47cc1bce09b93d783c7d48dbd74078dd2f,0x1b47…dd2f,36,2.827549,60229.937549,439.45,0.06824,7.334647457,2.19725,643181.05,0,,0.0,True,511.0,3.0,730.3216289999998,287.864775,442.4568539999998,0.25229357798165136,1.2381815235419762,0.0,0.0,ETH,ONDO,LIT,0.5965242167424297,True,1.0,0.0,LONG,1258.6757202739727,475.008,15241.2084,17.078355,SWING,46.45454545454545,11.0,2.1611156735258175,-0.7000083724643833,9.0,-2.481135000000001,-0.005607631518349136,55.0,163.0,69.02838670909092,-18.811286134969325
0x5bcb8556d5e8d7fee989cf06045a4275e5d9b800,0x5bcb…b800,37,2540966.378342,52554.23,52554.23,52554.32,525.5423,525.5423,2055636.17,0,,0.0,True,307.0,5.0,53933.38842488,1059.90982609,52873.47859879,0.9856115107913669,457211.0908258592,0.0,0.0,xyz:GOLD,BTC,HYPE,0.9302061560334857,True,0.993485342019544,0.0,LONG,6695.887889511401,2428.8688,161184.04200000002,4.190728888888889,INTRADAY,51.166666666666664,6.0,7.799552167033934,0.0,7.0,-317.37348199999997,-0.0060025080704121285,137.0,2.0,393.6754357372263,-0.058981
0x37c2a0912e44ea4c293866dfa3735d58ef1ecb4f,0x37c2…cb4f,38,5231.371657,50558.871657,15322.699758,1410.5889,126.2393799176,2.9864898905,22560231.64,0,,0.0,True,2000.0,1.0,361.546963,166.878691,194.668272,0.49310872894333846,11.498700382277667,0.0,0.0,xyz:URNM,,,1.0,True,0.6945,0.329,LONG,301.40215067,11.47602,5899.377,0.8157013888888889,SCALPER,1000.0,2.0,0.0,0.0,8.0,208.52293100000006,1.0711706065793816,322.0,331.0,1.1305481149068324,-0.09564629909365559
0x003a85c562730b196f7cba202a2515f2ff855736,0x003a…5736,39,146451.681344,738755.261344,110745.344084,-170662.244437,4.5729839113,2.7891967774,26186986.21,2,"BTC,TAO",40.0,True,2000.0,6.0,-63919.434485,4260.958396,-68180.39288099999,0.3818443804034582,0.5095611915737205,156.0,0.22478386167146974,ETH,HYPE,ZEC,0.2956004999999999,False,0.795,0.2055,LONG,7142.09274412,1265.87461,333269.189,68.86866527777778,SWING,62.5,32.0,-3.3818721587544776,-0.0,20.0,2093.9426530000005,0.03071180092280643,265.0,429.0,250.5439094377358,-303.7218853053613
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,0x5dea…46e1,40,305.962407,177991.502407,194.265562,1.730039,38.0420011786,1.7392215689,136985.12,0,,0.0,True,1301.0,15.0,-1029.5505752400002,178.34267165,-1207.8932468900002,0.654320987654321,0.3965127535055308,24.0,0.04938271604938271,km:US500,km:USTECH,xyz:SMSN,0.42832717220419925,False,0.7571099154496541,0.20983858570330516,LONG,358.76766975744164,63.34237,22507.39148,5.016291388888889,INTRADAY,15.305882352941177,85.0,-2.6806433517098185,-8.469373791400587,14.0,-66.139953,-0.05475645564729546,318.0,168.0,2.125593295597484,-10.14707450595238
0xaa7f0d3da989dae8fd166345a3ce21509f8c8bb4,0xaa7f…8bb4,41,155195.577249,375225.717249,231893.805557,54980.235572,3752.25717249,1.6176493456,0.0,0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x613ead0ea5af374af0ccfc117ef116a8e8d133fe,0x613e…33fe,42,273812.547808,2036947.067808,184580.178659,-46162.091579,21.8280888984,1.3050773297,2372131.19,1,HYPE,10.0,True,240.0,2.0,-26916.13048,304.599639,-27220.730119,0.7583892617449665,0.001106288349603219,0.0,0.0,HYPE,,,0.9433680555555555,True,1.0,0.0,LONG,2820.368078916667,499.751,33100.0,19.831041944444443,SWING,4.8979591836734695,49.0,0.0,0.0,10.0,-9764.768795,-0.3587254549129164,113.0,36.0,0.2638051327433628,-748.498346111111
0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0x9794…333b,43,2006.951362,144135193.801362,757.326615,283.14462,7.5866552731,0.6060432276,0.0,0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x33782fc77170dfbb1f9fbe460a910732f929bc87,0x3378…bc87,44,0.169322,279678.87,909.004414,0.0,4.5765214501,9.09004414,2267.62,0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x508ccb22b21ddc918a5c59f8a74a44642000062a,0x508c…062a,45,7327.230098,2673178.410098,3961.083993,4459.283055,14.6199224101,1.1767415523,0.0,0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xe0d8fd312d7bd72d7de328923d7dcf08340c0f83,0xe0d8…0f83,46,3421.894218,63616.554218,2165.131758,867.191634,16.5939650778,1.7227851936,129029.41,3,"kPEPE,ZRO,TAO",10.0,True,115.0,8.0,-2011.2071787799996,44.99334797,-2056.2005267499994,0.37209302325581395,0.0351018592368071,0.0,0.0,DOGE,xyz:BRENTOIL,AAVE,0.2768241965973535,False,0.09565217391304348,0.8782608695652174,SHORT,919.4266232782609,730.303,4486.112800000001,19.338904166666666,SWING,1.9491525423728813,59.0,-4.0839029638753,-0.0,23.0,-43.122561000000005,-0.020971962821232662,16.0,27.0,4.0078721875,-67.66124137037039
0xb2a4618e5d1458e60cc1d8d080d477db7552a612,0xb2a4…a612,47,134.905068,728075.825068,133.93056,0.0,25.3289403913,1.3393056,133.94,0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xc6758a779bccee1ef0190dbe8292fdf44076795d,0xc675…795d,48,1937704.795149,2474674.505149,1049405.511367,428384.956695,6.9067694718,1.0665256987,14828371.72,2,"BTC,TRUMP",12.0,True,2000.0,18.0,50031.887402,6553.834988679999,43478.05241332,0.6386292834890965,2.9850920594275396,11.0,0.01142263759086189,BTC,ENA,FARTCOIN,0.11076200000000001,False,0.7275,0.265,LONG,8208.156089213,1293.23931,600445.82094,25.178336944444446,SWING,83.33333333333333,24.0,6.580968777034322,-0.32613582527574203,16.0,-3560.2644910000017,-0.08188647589718792,615.0,348.0,122.33447084552846,-72.42474760919539
0xc80a38405f929b92bd889f3e5d438c342e498aca,0xc80a…8aca,49,1889.330161,1478086.530161,1503.804316,66.708717,4.1460965014,3.9006575966,0.0,0,,0.0,True,1747.0,2.0,2123.41565994,3131.6287699100003,-1008.2131099700005,0.0,0.0,0.0,0.0,,,,0.9988558356151636,True,0.0,0.0,NEUTRAL,49.85514943721729,30.314196000000003,2298.942,0.0,SCALPER,134.3846153846154,13.0,0.0,0.0,14.0,0.0,0.0,,,,
0xe490b3259249f0ca86e97d8461f8e1b186491037,0xe490…1037,50,143.339767,234737.089767,143.085883,5.230621,31.8989572669,1.43085883,0.0,0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x04722123cc98c8a78f4d2851d2b363561af99edf,0x0472…9edf,51,457.119157,1033986.009157,248.758837,9.533101,29.3367874214,1.1938877662,0.0,0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xd22f76abcf04b0194b3594073587912f9b9e56f9,0xd22f…56f9,52,261.125835,479528.905835,260.191126,26.165584,8.6020305813,1.30095563,0.0,0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x8dc34ec570b92888f77adc3edfe74c8e987fb655,0x8dc3…b655,53,17667.108252,82886.598252,13253.103329,572.22873,4.5619412209,3.0025121313,2023357.03,0,,0.0,True,1588.0,23.0,5920.195955670002,972.57581291,4947.620142760003,0.36341463414634145,1.1684680356308552,119.0,0.14512195121951219,xyz:AMZN,cash:AMZN,SOL,0.13245436491570917,False,0.1977329974811083,0.7821158690176322,SHORT,3402.755123127451,689.770475,115052.29821,5.9997452777777776,INTRADAY,23.014492753623188,69.0,0.7497683640072185,-0.9993100533000607,23.0,1493.0117720000003,0.3017636214826977,298.0,522.0,154.00387018456374,-75.24203961685824
0x6a9edc73adbcfd02f58ee95b3cbf742973f641c2,0x6a9e…41c2,54,399327.079211,3602096.699211,197346.815368,14856.202587,41.7805101815,0.9497122338,9751228.49,0,,0.0,True,2000.0,5.0,46925.961404919995,2361.87060501,44564.090799909995,0.7540029112081513,6.147755108421092,54.0,0.07860262008733625,HYPE,xyz:GOLD,xyz:SILVER,0.5616155000000002,True,0.736,0.0,LONG,3074.012262269679,947.54746,244443.65019000004,10.7528175,INTRADAY,42.5531914893617,47.0,2.3363514144992803,0.0,21.0,-7236.326954999999,-0.16238022194799526,518.0,169.0,111.56008676254827,-55.62055769620253
0x580809c0dfe56287e933f99e347cd5385a645ee3,0x5808…5ee3,55,1317.087629,17769582.867629,1449.573702,0.0,8.1221212217,0.6543275732,4332.22,0,,0.0,True,2000.0,1.0,-5559.43258906,2048.53140497,-7607.96399403,0.0,0.0,0.0,0.0,,,,1.0,True,0.0,0.0,NEUTRAL,1482.00526483,999.98888,7248.959999999999,0.0,SCALPER,2000.0,1.0,0.0,0.0,23.0,0.0,0.0,,,,
